cfg,is_net,is_trades_day,is_fills_day,is_volume,is_win_rate,is_max_dd,is_sharpe_h,is_bps_vol,oos_net,oos_trades_day,oos_fills_day,oos_volume,oos_win_rate,oos_max_dd,oos_sharpe_h,oos_bps_vol
"{""tp"": 15, ""sl"": 6, ""trail_act"": 4, ""trail_dist"": 2, ""max_hold_s"": null, ""entry_exec"": ""taker"", ""tp_exec"": ""maker"", ""side"": ""long"", ""sticky_s"": 120, ""score_thr"": 0.6, ""regime"": null}",-97.9508673358432,432.26243569391295,865.0488258553337,330199.0996061457,0.1903030303030303,97.9508673358432,-138.67813867399806,-2.9664183655460254,-37.50301156679416,275.869446683743,552.5248462070407,140603.44931343585,0.2079772079772079,37.7829868850622,-85.17235876636296,-2.667289582860214
"{""tp"": 12, ""sl"": 4, ""max_hold_s"": 300, ""entry_exec"": ""taker"", ""tp_exec"": ""maker"", ""side"": ""both"", ""sticky_s"": 600, ""score_thr"": 0.6, ""regime"": [""no_chase"", 0.2]}",-94.28623421261727,418.1156650712031,836.7552846099139,319394.8395928425,0.2593984962406015,94.28623421261727,-134.4559929307229,-2.9520274758606395,-37.52219939581482,280.58516372107186,561.1703274421437,142801.49021261308,0.2549019607843137,37.66405408418723,-121.05772158514895,-2.6275775791939626
"{""tp"": 10, ""sl"": 6, ""trail_act"": 4, ""trail_dist"": 2, ""max_hold_s"": null, ""entry_exec"": ""taker"", ""tp_exec"": ""maker"", ""side"": ""long"", ""sticky_s"": 120, ""score_thr"": 0.6, ""regime"": null}",-99.57224095833952,446.4092063166228,893.3423671007534,340996.8747850783,0.210093896713615,99.57224095833952,-135.8476211455312,-2.9200338279081706,-37.54319613248299,285.3008807584008,571.3877143563565,145403.28812051215,0.2396694214876033,37.80105904631273,-88.12127455189425,-2.5820046174861395
"{""tp"": 8, ""sl"": 6, ""max_hold_s"": null, ""entry_exec"": ""taker"", ""tp_exec"": ""taker"", ""side"": ""both"", ""sticky_s"": 120, ""score_thr"": 0.6, ""regime"": null}",-97.8346039143962,433.8342990964362,868.1925526603802,331392.7501199633,0.4516908212560386,97.8346039143962,-120.55489091634266,-2.9522252336232557,-37.59420043571481,275.869446683743,552.5248462070407,140602.08161254768,0.4786324786324786,37.83119252812685,-90.7313411974215,-2.6738011275901203
"{""tp"": 12, ""sl"": 4, ""max_hold_s"": 300, ""entry_exec"": ""taker"", ""tp_exec"": ""maker"", ""side"": ""both"", ""sticky_s"": 120, ""score_thr"": 0.6, ""regime"": null}",-99.61777514643472,461.6038858743482,923.2077717486964,352397.6224779573,0.2735527809307605,99.64606209150044,-126.4708393485324,-2.8268571860942644,-37.6296163261959,294.7323148330587,589.4646296661174,150000.4970886087,0.2746666666666666,37.77170873063369,-105.64895729272196,-2.5086327749945543
"{""tp"": 15, ""sl"": 4, ""max_hold_s"": 120, ""entry_exec"": ""taker"", ""tp_exec"": ""maker"", ""side"": ""both"", ""sticky_s"": 0, ""score_thr"": 0.35, ""regime"": null}",-97.82389396367398,440.6457071740373,881.2914143480746,336395.79707480624,0.187871581450654,97.82389396367398,-171.36876723346498,-2.907999886274451,-37.65403387518563,291.5885034748394,583.1770069496788,148402.81219722828,0.2102425876010781,37.83499137287072,-113.39459423904492,-2.537285737223307
"{""tp"": 12, ""sl"": 4, ""max_hold_s"": null, ""entry_exec"": ""taker"", ""tp_exec"": ""maker"", ""side"": ""both"", ""sticky_s"": 600, ""score_thr"": 0.6, ""regime"": null}",-99.71010262238816,450.0768875891772,900.6777296458622,343792.60580565763,0.2910360884749709,99.79286885091096,-123.73711457876156,-2.900298055821283,-37.71203689707363,282.1570694001815,565.1000916399179,143799.3803514025,0.3175487465181058,37.99181144900285,-95.85003801059165,-2.622545160133287
"{""tp"": 8, ""sl"": 4, ""entry_exec"": ""maker"", ""tp_exec"": ""maker"", ""maker_wait_s"": 60, ""side"": ""both"", ""sticky_s"": 120, ""lean_min"": 0.2}",-101.0533431249678,461.6038858743482,923.2077717486964,352376.48854874563,0.2485811577752553,101.08795148281024,-123.0903129168658,-2.8677663354088585,-37.73956761100453,276.6553995232978,554.0967518861504,140993.46565707106,0.2670454545454545,37.87747532002141,-83.29267441663202,-2.67668912421771
"{""tp"": 6, ""sl"": 15, ""max_hold_s"": 120, ""entry_exec"": ""taker"", ""tp_exec"": ""maker"", ""side"": ""both"", ""sticky_s"": 30, ""score_thr"": 0.6, ""regime"": null}",-88.81482726477589,418.63961953871086,837.2792390774217,319595.05996763014,0.3779724655819774,88.81482726477589,-137.4473599259781,-2.7789799777809896,-37.74458710464751,275.0834938441881,550.1669876883763,139998.90244023487,0.3257142857142857,37.81312869695103,-110.62387825907078,-2.696063072405911
"{""tp"": 6, ""sl"": 4, ""max_hold_s"": 300, ""entry_exec"": ""taker"", ""tp_exec"": ""maker"", ""side"": ""both"", ""sticky_s"": 120, ""score_thr"": 0.6, ""regime"": [""no_chase"", 0.2]}",-100.9878668223082,458.46015906930165,916.9203181386032,349993.91780519794,0.3977142857142857,101.01615376737573,-102.3789725238172,-2.88541776541719,-37.81739929608375,282.1570694001815,564.314138800363,143598.60209862416,0.4122562674094707,37.88097789214044,-77.30147415513531,-2.6335492646446927
"{""tp"": 15, ""sl"": 4, ""max_hold_s"": 120, ""entry_exec"": ""taker"", ""tp_exec"": ""taker"", ""side"": ""both"", ""sticky_s"": 0, ""score_thr"": 0.35, ""regime"": null}",-96.44852582021304,440.6457071740373,881.2914143480746,336396.4009029096,0.187871581450654,96.44852582021304,-178.23790672828568,-2.8671093258233142,-37.83594361984069,291.5885034748394,583.1770069496788,148403.11963948762,0.2102425876010781,38.01690111752578,-114.21929153591108,-2.54953829217032
"{""tp"": 15, ""sl"": 6, ""trail_act"": 4, ""trail_dist"": 2, ""max_hold_s"": null, ""entry_exec"": ""taker"", ""tp_exec"": ""taker"", ""side"": ""long"", ""sticky_s"": 120, ""score_thr"": 0.6, ""regime"": null}",-97.31470472568616,432.26243569391295,865.0488258553337,330201.85977680754,0.1903030303030303,97.31470472568616,-142.19643349650428,-2.9471276991433,-37.91052260923425,275.869446683743,552.5248462070407,140604.24384075156,0.2079772079772079,38.19049792750229,-85.7308732319725,-2.696257351390597
"{""tp"": 12, ""sl"": 6, ""max_hold_s"": 120, ""entry_exec"": ""taker"", ""tp_exec"": ""maker"", ""side"": ""both"", ""sticky_s"": 30, ""score_thr"": 0.6, ""regime"": null}",-92.3658113057736,422.831255278773,845.662510557546,322795.80754440575,0.231722428748451,92.4359161520988,-149.96222244217262,-2.8614315659309546,-37.91870360944267,277.44135236285257,554.8827047257051,141200.9246892167,0.2266288951841359,38.07914856310708,-106.50067188961071,-2.6854430091659633
"{""tp"": 10, ""sl"": 6, ""trail_act"": 6, ""trail_dist"": 3, ""entry_exec"": ""taker"", ""tp_exec"": ""maker"", ""side"": ""both"", ""sticky_s"": 120, ""fund_tilt"": true}",-95.93624646617718,456.36434119927054,912.7286823985412,348396.5324980551,0.2847301951779564,95.93624646617718,-139.17804091073666,-2.7536510130654857,-37.94552500719146,291.5885034748394,583.1770069496788,148401.71118421567,0.307277628032345,38.08267524961229,-92.50655773549036,-2.556946594779389
"{""tp"": 30, ""sl"": 4, ""max_hold_s"": 120, ""entry_exec"": ""taker"", ""tp_exec"": ""taker"", ""side"": ""both"", ""sticky_s"": 0, ""score_thr"": 0.35, ""regime"": null}",-88.13414527819623,419.6875284737264,839.3750569474528,320397.02001486823,0.1847690387016229,88.13414527819623,-193.0249924279999,-2.7507791824688725,-37.95939726264078,279.79921088151707,559.5984217630341,142402.70943736992,0.196629213483146,38.14035476032405,-109.95385039168602,-2.6656372910752575
"{""tp"": 8, ""sl"": 4, ""max_hold_s"": null, ""entry_exec"": ""taker"", ""tp_exec"": ""taker"", ""side"": ""both"", ""sticky_s"": 0, ""score_thr"": 0.35, ""regime"": null}",-95.45087279477411,438.0259348364985,876.051869672997,334397.7353527579,0.3827751196172249,95.45087279477411,-134.79439240926973,-2.854411459876739,-37.96663771346175,283.7289750792912,567.4579501585824,144400.82772534495,0.4099722991689751,38.17854336988057,-90.23088174551216,-2.6292534683856195
